B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
125,125,3,300,296.06,46.67,824.5
90,120,2.93,600,293.5,27.44,825
99.9,99.9,4,301,333,46.08,830
100,100,3,400,288.2,32.4,833
100,100,1.87,300,282,64.8,840
150,200,2.1,800,245.17,22.56,844.35
99,99,5.85,395,234.7,38,850
80,120,5,200,357.5,35.7,850
100.1,100.1,2.18,300,300,53.7,851
100,100,3,400,288.2,32.4,852
100,100,1.87,300,282,64.8,860
100,100,3,400,288.2,32.4,872
100,100,4.1,301,333,46.08,880
80,140,2.86,420,228,47.44,880
130,195,2.65,780,340.1,17.6,880
150,200,1.4,800,245.17,22.56,881.62
120,120,3.84,360,330.1,14.6,882
120,120,3.84,360,330.1,16.7,882
100,100,3,400,288.2,32.4,882
100,100,3,400,288.2,32.4,882
100,100,4,400,239.8,32.4,882
100,100,3,400,288.2,32.4,891
100,100,3,400,288.2,32.4,892
114.86,114.86,4.39,406.4,254.07,32.13,896.76
114.9,114.9,4.39,406,258,32.6,897
99,99,4.86,399,294.9,37.9,900
99.8,99.8,4.9,300,300,74.88,900
80,120,5,200,341,38.8,900
130,195,2.65,780,340.1,17.6,900
100,100,4,400,239.8,32.4,901.6
150,150,1.52,595,246.7,37.1,905
100.1,100.1,2.18,300,300,61,911
100,150,4,300,270.84,40.41,912
153,153,3.31,456,148,36.1,915
127.3,127.3,3.15,635,356,30.5,917
80,120,5,200,341,40.5,920
120,120,3.84,360,330.1,16.7,921.2
100,100,4,400,239.8,32.4,921.2
140,140,3.84,420,330.1,8.97,921.6
100,100,3,400,288.2,32.4,931
140,140,3.84,420,330.1,8.52,940.8
150,150,1.6,598,246.7,37.4,950
98,98,5.74,399,234.7,37.9,950
99,99,5.84,398,234.7,37.9,950
80,120,5,200,362.6,39.1,950
126,126,3,300,300,40,950
80,120,5,200,362.6,36,955
99,99,4.9,398,294.9,37.1,960
130,195,2.65,780,340.1,17.6,960
100,100,4,400,239.8,32.4,960.4
120,240,2.65,720,340.1,17.6,968
100,100,4,400,239.8,32.4,970
100,100,4.1,300,333,77.76,970
150,150,1.4,800,245.17,35.3,973.8
99,99,4.92,397,294.9,37.4,980
100,100,4,400,239.8,32.4,980
100,100,4,400,239.8,32.4,980
130,195,2.65,780,340.1,17.6,980
100.4,100.4,2.07,300,348.7,59,987
149,149,1.47,596,246.7,37.4,1000
99,99,7.82,397,238.3,38,1000
100,100,4,400,239.8,32.4,1000
99.7,99.7,4.7,301,289,46.56,1000
76.5,152.8,4.47,635,383,26,1006
101.5,101.5,2.32,300,145,108.6,1009
100,100,1.9,900,404,121.6,1010
100,100,1.9,900,404,121.6,1013
100,100,4,400,239.8,32.4,1019
120,240,2.65,720,340.1,17.6,1032
100,100,7.78,398,238.3,38,1050
99.7,99.7,4.73,302,289,79.12,1050
120,120,2.93,600,293.5,27.44,1054
199,199,1.66,796,246.7,25.8,1065
100,100,5,400,403.4,32.4,1068
101.5,162.9,2,480,305.1,49.4,1068
120,120,3.84,360,330.1,28.2,1078
120,120,3.84,360,330.1,26.4,1080
100.3,163.9,1.99,480,305.1,49.4,1080
102.7,160.8,2.04,480,305.1,49.4,1080
100.7,162.7,2.97,480,255.1,49.4,1080
126.9,126.9,4.34,635,357,26,1095
99,99,7.72,396,238.3,38,1100
199,199,1.68,796,192.4,25.6,1110
126.9,127,4.55,635,322,23.8,1113
126,126,3,360,300,50,1114
126,126,3,360,300,50,1114
120,120,5.86,360,321.1,16.1,1117.2
100,100,4.1,299,333,77.76,1130
99.9,99.9,4.1,301,333,79.12,1130
100.4,100.4,3.79,300,306.7,59,1138
120,240,2.65,720,340.1,17.6,1140
101.8,152.4,4.32,635,413,26,1144
143.1,143.1,3.02,420,255.1,44.9,1150
128.2,129.1,2.5,390,234.3,54.8,1150
148,148,4.38,444,262,25.4,1153
148,148,4.38,444,262,25.4,1153
125,125,4,300,342.59,46.67,1159.2
199,199,1.69,797,246.7,25.7,1160
199,199,1.63,798,192.4,25.4,1163
150,200,1.4,480,245.17,33.73,1172.88
120,120,5.86,360,321.1,16.1,1176
100,150,4,300,270.84,90.58,1188.5
100,150,5,200,340,38.7,1190
100,100,1.9,300,404,121.6,1190
100,100,5,400,403.4,32.4,1195
120,120,5.86,360,321.1,13.8,1195.6
100,150,5,200,346.7,38.3,1200
100,150,5,200,340,39.6,1200
186,186,3,300,300,32,1200
125.3,126.5,5.67,635,312,23.8,1202
100,100,1.9,300,404,121.6,1209
198,198,1.72,797,246.7,25.7,1210
100,150,5,200,346.7,38.5,1210
100,100,1.9,300,404,121.6,1220
100,100,1.9,300,404,121.6,1220
102.8,152.7,4.57,635,365,23.8,1224
100,100,5,400,403.4,32.4,1244.6
100,100,5,400,403.4,32.4,1244.6
150,200,2.1,800,245.17,35.3,1268
100,100,5,400,403.4,32.4,1274
100,100,5,400,403.4,32.4,1274
140.9,140.9,2.02,420,305.1,44.9,1280
140,140,5.86,420,321.1,9.78,1292.6
100,100,5,400,403.4,32.4,1294
100,100,5,400,403.4,32.4,1294
149,149,3.91,598,279,37,1300
100,150,5,100,340,38.7,1300
156,156,3,300,300,50,1300
150,150,2,450,404,40.72,1300
198,198,1.66,794,192.4,25.6,1310
101.3,101.3,4.97,300,347.3,49.4,1310
100,100,5,400,403.4,32.4,1313
100,100,5,400,403.4,32.4,1313
124.3,161.5,2,480,305.1,49.4,1320
100,150,5,100,340,39.6,1320
100,100,5,400,403.4,32.4,1323
142.1,142.1,2.01,420,305.1,44.9,1328
102.1,102.1,4.97,300,347.3,58.6,1330
101.3,151.4,5.72,635,324,23.8,1335
149,149,3.96,598,279,37,1340
103.6,103.6,4.9,300,347.3,49.4,1340
100,150,5,100,346.7,38.3,1340
140,140,5.86,420,321.1,8.7,1342.6
149,149,3.94,597,279,37,1350
199,199,1.91,792,246.7,27.6,1360
199,199,1.62,798,246.7,27.6,1360
142.1,142.1,3.02,420,255.1,44.9,1360
199,199,1.5,798,192.4,27.7,1362
142.1,142.1,2.01,420,305.1,44.9,1364
70,70,5,210,701,21,1367
102,102,4.97,300,347.3,49.4,1370
149,149,3.59,448,283.6,31.7,1370
100,150,5,100,346.7,38.5,1370
120,120,5.86,360,321.1,28.2,1372
120,120,8,500,404,92,1380
149.4,149.4,3.64,448,283.6,31.7,1399
142.1,142.1,3.02,420,255.1,44.9,1400
122.7,160.2,2.03,480,305.1,49.4,1400
148,148,4.38,444,262,40.5,1402
148,148,4.38,444,262,40.5,1402
199,199,1.8,796,192.4,27.7,1403
100.4,100.4,2.03,300,348.7,113.2,1406
149.1,149.1,3.69,448,283.6,31.7,1409
197,197,1.55,797,192.4,27.7,1413
148,148,4.38,444,262,40.5,1414
148,148,4.38,444,262,40.5,1414
199,199,1.86,797,246.7,27.6,1417
119.4,160.1,2.01,480,305.1,49.4,1420
105.9,161.4,2.96,480,255.1,49.4,1420
150,150,2,450,404,40.72,1420
80.6,119.3,4.18,360,550,56.6,1425
148.6,148.6,3.67,448,283.6,31.7,1433
101.9,101.9,5.03,300,347.3,58.6,1440
120,120,5,500,304,47,1440
105.7,158.2,2.93,480,255.1,49.4,1440
120,120,5,500,304,47,1440
125,125,3,300,296.06,94.31,1441.2
80.1,120.7,4.18,360,550,56.6,1450
99.6,162.8,2.13,480,305.1,58.6,1460
120,120,5.86,360,321.1,28.2,1460.2
140,140,3.84,420,330.1,29.3,1470
98.2,100.3,4.18,300,550,56.6,1490
140,140,3.84,420,330.1,29.3,1499.4
103.5,103.5,5.01,300,347.3,58.6,1500
200,200,3.93,794,256.4,25.9,1509
150,150,3,675,324.4,52.6,1516
100.6,101.5,4.18,300,550,56.6,1535
100.3,100.3,3.83,300,306.7,113.2,1544
98.5,162.3,2,480,305.1,58.6,1545
199,199,2.91,793,256.4,25.8,1546
100.7,100.7,9.6,301,400,24.64,1550
120,120,8,500,323,39,1550
120,120,8,500,323,39,1550
102.1,160.2,2,570,305.1,58.6,1555
186,186,3,540,300,32,1555
186,186,3,540,300,32,1555
200,200,2.93,792,256.4,25.9,1560
126,160.3,2.92,480,255.1,49.4,1560
80.6,119.6,4.18,360,550,65.7,1560
100,130,5.8,390,300,74.7,1566
152.3,152.3,3.31,456,148,74.4,1566
100.4,100.4,2.05,300,348.7,130.8,1575
101.6,130.3,5.03,390,347.3,49.4,1580
120.2,166.3,2.94,480,255.1,49.4,1580
126.2,161,2.98,480,255.1,49.4,1580
150,150,4.5,1200,438.36,31.87,1585.74
150,150,4.5,600,438.36,31.87,1597.5
149.8,149.8,4.27,600,412,31.9,1598
125,125,3.2,500,443,94,1598
150,150,3,900,324.4,52.6,1599
102.3,130.3,5.14,390,347.3,49.4,1600
240,360,2.65,1440,340.1,17.6,1600
100,130,5.8,390,300,74.7,1601
105.1,159.1,2.93,480,255.1,58.6,1610
240,360,2.65,1440,340.1,17.6,1610
200.3,200.3,4.35,601,323,29.6,1613
150,150,4.95,594,294.9,36.9,1630
74.04,74.04,4.91,285,762,100,1636
102.3,130.3,5.14,390,347.3,49.4,1640
104.5,162.6,3.04,480,255.1,58.6,1640
150,150,4.93,595,294.9,36.9,1645
100.7,100.7,7.6,300,371.6,59,1647
150,150,4.96,595,294.9,36.9,1650
120,120,4,360,495,58.4,1657
150,150,1.87,450,282,64.8,1662
120,120,8,500,300,46,1670
120,120,8,500,300,46,1670
100.4,100.4,3.79,300,306.7,130.8,1676
120,120,8,500,379,31,1680
102.2,163.8,2.93,480,255.1,58.6,1680
120,120,5,500,438,46,1690
120,120,5,500,438,46,1690
102.1,151.4,7.34,635,358,23.8,1691
120,120,5.8,360,300,74.7,1697
149.1,149.1,5.06,420,347.3,58.6,1700
80.6,120.5,4.18,360,550,65.7,1700
120,120,4,360,495,58.4,1701
156,156,3,450,300,50,1708
81.4,160.2,4.18,480,550,56.6,1710
120,120,4,360,495,56,1718
102.7,132.3,4.98,390,347.3,58.6,1725
100,180,5.8,540,300,56,1725
100,150,4,450,495,58.4,1735
120,120,4,360,495,56,1739
101.1,101.2,4.18,300,550,65.7,1740
119,161.9,2,480,305.1,58.6,1740
150,150,1.87,450,282,64.8,1740
100,180,5.8,540,300,56,1742
108,108,4,320,495,77.6,1749
149,149,7.58,598,238.3,36.6,1750
90,130,4,390,495,77.6,1752
72.87,72.87,4.88,285,762,100,1755
201,201,2.92,796,256.4,27.6,1760
198,198,2.92,797,256.4,27.6,1760
100,180,5.8,450,300,56,1763
200,200,2.93,793,256.4,27.6,1764
149.3,149.3,3.63,450,279.9,41.8,1771
149.3,149.3,3.63,448,283.6,31.7,1771
90,180,4,540,495,58.4,1773
100.4,100.7,4.18,300,550,65.7,1775
215,215,4.38,645,262,25.4,1777
215,215,4.38,645,262,25.4,1777
100,150,4,450,495,58.4,1778
100,130,5.8,390,300,92,1779
140.5,140.5,2,420,305.1,58.6,1780
149.3,149.3,3.63,450,279.9,41.8,1785
149.3,149.3,3.63,448,283.6,31.7,1785
90,180,4,540,495,58.4,1795
122.5,157.1,2.01,480,305.1,58.6,1800
101,101,9.6,302,400,46.08,1800
120,120,8,500,379,39,1800
119.7,164.6,2.01,480,305.1,58.6,1800
120,120,8,500,379,39,1800
90,130,4,390,495,77.6,1806
100,180,5.8,450,300,56,1815
120.4,130,5.03,390,347.3,58.6,1820
80.5,160.7,4.18,480,550,56.6,1820
104.4,158.8,4.85,480,347.3,49.4,1820
108,108,4,320,495,77.6,1824
120,120,5,430,761,20.34,1835
102.7,125.7,5.15,390,347.3,58.6,1840
149,149,7.67,596,238.3,36.6,1845
149,149,7.67,596,238.3,36.6,1850
100,130,5.8,390,300,92,1854
142.3,142.3,2.01,420,305.1,58.6,1855
125.1,160.4,2.85,480,255.1,58.6,1855
80,160,4,480,495,77.6,1858
103.3,159.1,4.8,480,347.3,49.4,1875
80,160,4,480,495,77.6,1878
81,160.1,4.18,480,550,65.7,1880
125,125,4,300,342.59,94.33,1882.5
152.4,152.4,4.43,300,389,46.2,1906
140,140,5.86,420,321.1,29.3,1906.1
100,180,5.8,480,300,56,1912
102.4,156.7,4.8,480,347.3,49.4,1915
120,120,5.8,360,300,92,1919
141.5,141.5,3.08,420,255.1,58.6,1920
110,160,4,480,495,58.4,1923
100,100,5,300,701,21,1934
100,180,5.8,480,300,56,1947
141.6,141.6,3.04,420,255.1,58.6,1960
200,200,5.86,600,321.1,9.41,1960
100,120,5.7,361,514.53,43.2,1960
130,130,4,390,495,56,1963
100.7,100.7,7.59,300,371.6,113.2,1976
200.3,100.5,1.98,400,413,44.8,1980
150,150,2,450,404,64.8,1980
110,160,4,480,495,58.4,1982
130,130,4,390,495,56,1988
143.2,143.2,2.03,420,305.1,58.6,1990
120,120,8,500,376,47,1990
120,120,8,500,376,47,1990
200,200,2,600,404,40.72,1990
250,250,2.5,750,338,20.4,1993
101,101,9.6,300,400,74.88,2000
140,140,5.86,420,321.1,29.3,2009
130,130,4,390,495,58.4,2018
100,180,5.8,540,300,74.7,2019
130,130,4,390,495,58.4,2020
250,250,2.5,750,338,20.4,2020
125.6,160,2.88,480,255.1,58.6,2030
100,180,5.8,570,300,56,2035
125,161.1,2.81,480,255.1,58.6,2040
120,120,5,500,327,96,2040
120,120,5,500,327,96,2040
150.3,149.9,1.98,399.5,413,44.8,2046
100,190,4,570,495,58.4,2049
100.7,100.7,7.63,300,371.6,130.8,2051
200,200,2,600,404,40.72,2054
200,200,5.86,600,321.1,9.41,2058
100,180,5.8,540,300,74.7,2059
142.4,142.4,3.05,420,255.1,58.6,2060
102.6,158.9,4.74,480,347.3,58.6,2060
150,150,2,450,404,64.8,2060
200,200,5,600,227,24,2061
126.8,127.2,7.47,635,347,23.8,2069
103.4,156.9,4.71,480,347.3,58.6,2090
199,199,3.99,796,279,36.2,2100
200,200,3.96,796,279,36.4,2100
80.1,160.6,4.18,480,550,65.7,2100
100,120,5.7,360,514.53,55.3,2100
148,148,4.38,444,262,77,2108
148,148,4.38,444,262,77,2108
152.5,152.5,3.31,455,148,108.6,2124
100,190,4,570,495,58.4,2124
100,180,5.8,570,300,56,2138
190,190,2.5,570,270,46.64,2140
142,142,5.11,420,347.3,49.4,2160
200.5,100.5,2.97,402,392,44.8,2160
198,198,5.69,796,234.7,36.5,2190
246,246,3,300,300,38,2200
150.1,149.8,2,400.1,413,44.8,2200
110,110,5,330,701,54.5,2203
200.3,200.3,4.35,601,323,29.6,2230
110,110,5,330,701,54.5,2234
120,120,5,500,439,96,2240
120,120,5,500,439,96,2240
142,142,5.08,420,347.3,49.4,2250
240,360,2.65,1440,340.1,17.6,2250
121.6,188.4,4.88,480,347.3,49.4,2260
200,200,2.5,1190,270,58.3,2260
120,120,8,500,323,103,2270
120,120,8,500,323,103,2270
141.4,141.4,5.07,420,347.3,49.4,2280
200,200,3,603,303.5,46.8,2284
200,200,3,600,303.5,46.8,2284
100,180,5.8,540,300,92,2287
120,120,8,500,379,80,2290
120,120,8,500,379,80,2290
100,180,5.8,540,300,92,2291
120,120,8,500,364,80,2300
240,360,2.65,1440,340.1,17.6,2300
120,120,8,500,390,80,2300
150.4,150,3,400.6,392,44.8,2300
200,200,3,602,303.5,46.8,2306
200,200,3,600,303.5,46.8,2306
106.9,162,4.81,480,347.3,58.6,2320
198,198,5.66,796,234.7,35.9,2330
125,125,5,375,701,21,2348
101.2,199.8,4.18,600,550,56.6,2350
150.2,150.2,2.98,401,392,44.8,2360
98.9,200.2,4.18,600,550,56.6,2380
215,215,4.38,645,262,41.1,2393
215,215,4.38,645,262,41.1,2393
134.9,175.7,2.91,993,319.3,68.5,2401
215,215,4.38,645,262,41.1,2424
215,215,4.38,645,262,41.1,2424
120,120,8,500,379,92,2430
190,190,2.5,570,342,53.6,2430
200,200,4.93,796,294,36,2439
114.3,114.3,9.63,406,258,32.6,2442
114.3,114.3,9.63,406.4,254.07,32.13,2442.07
200,200,3,600,303.5,46.8,2458
200,200,3,600,303.5,46.8,2458
200,200,4.92,796,294,36,2465
200,200,5,600,227,36.8,2468
135.3,170.8,5.07,510,347.3,49.4,2470
190,190,2.5,570,342,53.6,2480
121,182,5.7,540,514.53,43.2,2485
