B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
120,120,6.47,360,835,40.5,2961
120,120,6.47,360,835,40.5,2961
124.94,124.94,4.94,435,762,100,2962
250,250,2,750,404,40.72,2965
119.8,180.4,4.18,540,550,65.7,2970
198.5,198.5,6.1,600,437.88,20.65,3010
124.43,124.43,4.93,435,762,100,3023
101,203,8.28,607,488.38,43.2,3090
246,246,3,720,300,38,3095
250,250,2,750,404,40.72,3100
170,170,5,510,701,54.5,3118
119,179,7.69,542,423.2,43.2,3130
249.6,249.6,3.7,750,324.3,40.4,3131
120,180,7.69,545,423.2,55.3,3150
250,250,2.5,750,338,40.96,3150
210,210,5.48,630,294,39.1,3183
210,210,5.48,630,294,39.1,3184
250,250,2.5,750,338,40.64,3190
200.1,200.1,4.35,601,323,57.9,3201
102,203,8.28,60,488.38,55.3,3230
170,170,5,510,701,54.5,3243
119,183,8.28,541,488.38,43.2,3300
250,250,1.87,750,282,48,3304
152.4,152.4,8.95,300,432,45.4,3307
152,153.4,6.17,300,377,43.6,3317
120,120,6.47,360,835,77,3318
119,119,6.47,357,835,77,3318
323,323,4.38,969,262,25.4,3367
323,323,4.38,969,262,25.4,3367
122,182,8.28,541,488.38,55.3,3380
144,144,6.36,432,618,77,3399
144,144,6.36,432,618,77,3399
250,250,1.87,750,282,48,3400
249,250.4,2.5,750,234.3,50.1,3409
200.3,200.3,4.35,601,323,63.7,3417
300,300,6,1050,414,10,3428
200,200,6,695,485,38,3452
200,200,6,695,485,38,3488
250,250,2.5,750,270,46.64,3495
150,150,8.28,453,488.38,43.2,3500
150,152,8.28,451,488.38,55.3,3575
181.2,182.8,4.18,540,550,56.6,3590
220,220,5,730,761,20.34,3609
300,300,5,900,227,24,3621
170,220,5.8,660,300,74.7,3684
170,220,5.8,660,300,74.7,3717
215,215,4.38,645,262,80.3,3837
215,215,4.38,645,262,80.3,3837
180,180,5,570,701,54.5,3856
200,200,5.8,600,300,74.7,3862
180,180,5,570,701,54.5,3882
200,200,3.09,600,310,119,3899
199.5,199.5,10.1,600,381.68,19.58,3900
211,211,6.36,633,618,25.4,3920
211,211,6.36,633,618,25.4,3920
201,201,10,600,381.68,20.65,3920
270,270,5,880,761,20.34,3950
149.87,149.87,4.92,510,762,100,3968
201,201,10.3,600,381.68,21.26,3980
200,200,5.8,600,300,74.7,3996
306,306,3,900,300,38,4000
204,204,5.95,612,540,39.1,4026
204,204,5.95,612,540,39.1,4027
250,250,2.5,750,342,53.6,4040
180,180,6.3,1000,397,92.4,4060
250,250,2.5,750,342,53.6,4080
149.99,149.99,4.92,510,762,100,4115
152.2,153,9.04,300,394,47.2,4208
180.4,181.8,4.18,540,550,65.7,4210
175,175,6.47,525,835,25.4,4210
175,175,6.47,525,835,25.4,4210
306,306,3,900,300,38,4253
211,211,4.5,633,277,91.1,4371
211,211,4.5,633,277,91.1,4372
211,211,6.36,633,618,40.5,4428
211,211,6.36,633,618,40.5,4428
400,400,6,1400,414,10,4452
211,211,6.36,633,618,40.5,4484
211,211,6.36,633,618,40.5,4484
175,175,6.47,525,835,40.5,4493
175,175,6.47,525,835,40.5,4493
306,306,3,900,300,38,4495
175,175,6.47,525,835,40.5,4542
175,175,6.47,525,835,40.5,4542
306,306,3,900,300,38,4581
300,300,5,900,227,28.8,4603
211,211,5.48,633,294,91.1,4773
211,211,5.48,633,294,91.1,4775
323,323,4.38,969,262,41.1,4830
323,323,4.38,969,262,41.1,4830
250,250,8,500,379,33,4870
300,300,5,900,227,36.8,4872
200,200,3.17,600,781,119,4910
200,200,6,695,485,80.5,4921
323,323,4.38,969,262,41.1,4950
200,200,6.39,600,310,119,4965
200,200,6,695,485,80.5,4973
