B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
142.4,142.4,3.05,420,255.1,58.6,2060
141.6,141.6,3.04,420,255.1,58.6,1960
149.1,149.1,5.06,420,347.3,58.6,1700
143.1,143.1,3.02,420,255.1,44.9,1150
101.6,130.3,5.03,390,347.3,49.4,1580
102.3,130.3,5.14,390,347.3,49.4,1600
102.3,130.3,5.14,390,347.3,49.4,1640
120.2,166.3,2.94,480,255.1,49.4,1580
126.2,161,2.98,480,255.1,49.4,1580
126,160.3,2.92,480,255.1,49.4,1560
136.1,167.4,5.13,480,347.3,49.4,2510
135.3,170.8,5.07,510,347.3,49.4,2470
102.7,125.7,5.15,390,347.3,58.6,1840
120.4,130,5.03,390,347.3,58.6,1820
102.7,132.3,4.98,390,347.3,58.6,1725
122.5,157.1,2.01,480,305.1,58.6,1800
119,161.9,2,480,305.1,58.6,1740
125.1,160.4,2.85,480,255.1,58.6,1855
125.6,160,2.88,480,255.1,58.6,2030
125,161.1,2.81,480,255.1,58.6,2040
137.1,167.9,5.1,480,347.3,58.6,2600
133.2,172.7,5.08,480,347.3,58.6,2700
122.7,160.2,2.03,480,305.1,49.4,1400
119.4,160.1,2.01,480,305.1,49.4,1420
124.3,161.5,2,480,305.1,49.4,1320
149.3,149.3,3.63,448,283.6,31.7,1771
149.3,149.3,3.63,448,283.6,31.7,1785
149.1,149.1,3.69,448,283.6,31.7,1409
149,149,3.59,448,283.6,31.7,1370
148.6,148.6,3.67,448,283.6,31.7,1433
149.4,149.4,3.64,448,283.6,31.7,1399
120,120,2.65,360,340,12.2,635
120,120,2.65,360,340,21.9,778
76,76,3.09,228,199,36.1,275
75.9,75.9,3.09,228,199,74.4,382
75.8,75.8,3.09,227,199,74.4,374
76,76,3.09,228,199,108.6,514
88.1,88.1,1.76,269,115,36.1,299
88,88,1.76,264,115,74.4,467
88,88,1.76,264,115,108.6,722
101.7,101.7,2.32,300,145,36.1,415
101.6,101.6,2.32,300,145,74.4,651
101.5,101.5,2.32,300,145,108.6,1009
153,153,3.31,456,148,36.1,915
152.3,152.3,3.31,456,148,74.4,1566
152.5,152.5,3.31,455,148,108.6,2124
114.3,114.3,9.63,406,258,32.6,2442
114.9,114.9,4.39,406,258,32.6,897
120,120,3.84,360,330.1,14.6,882
120,120,3.84,360,330.1,16.7,882
120,120,3.84,360,330.1,16.7,921.2
120,120,3.84,360,330.1,26.4,1080
120,120,3.84,360,330.1,28.2,1078
140,140,3.84,420,330.1,8.52,940.8
140,140,3.84,420,330.1,8.97,921.6
140,140,3.84,420,330.1,29.3,1499.4
140,140,3.84,420,330.1,29.3,1470
120,120,5.86,360,321.1,16.1,1176
120,120,5.86,360,321.1,16.1,1117.2
120,120,5.86,360,321.1,13.8,1195.6
120,120,5.86,360,321.1,28.2,1460.2
120,120,5.86,360,321.1,28.2,1372
140,140,5.86,420,321.1,8.7,1342.6
140,140,5.86,420,321.1,9.78,1292.6
140,140,5.86,420,321.1,29.3,2009
140,140,5.86,420,321.1,29.3,1906.1
200,200,5.86,600,321.1,9.41,2058
200,200,5.86,600,321.1,9.41,1960
100,100,2,400,284.6,32.4,588
100,100,2,400,284.6,32.4,656.6
100,100,2,400,284.6,32.4,745
100,100,2,400,284.6,32.4,705.6
100,100,2,400,284.6,32.4,666.4
100,100,2,400,284.6,32.4,696
100,100,2,400,284.6,32.4,725
100,100,2,400,284.6,32.4,745
100,100,3,400,288.2,32.4,852
100,100,3,400,288.2,32.4,892
100,100,3,400,288.2,32.4,882
100,100,3,400,288.2,32.4,931
100,100,3,400,288.2,32.4,882
100,100,3,400,288.2,32.4,891
100,100,3,400,288.2,32.4,833
100,100,3,400,288.2,32.4,872
100,100,5,400,403.4,32.4,1195
100,100,5,400,403.4,32.4,1068
100,100,5,400,403.4,32.4,1294
100,100,5,400,403.4,32.4,1274
100,100,5,400,403.4,32.4,1313
100,100,5,400,403.4,32.4,1294
100,100,5,400,403.4,32.4,1244.6
100,100,5,400,403.4,32.4,1323
100,100,5,400,403.4,32.4,1313
100,100,5,400,403.4,32.4,1274
100,100,5,400,403.4,32.4,1244.6
100,100,4,400,239.8,32.4,1019
100,100,4,400,239.8,32.4,980
100,100,4,400,239.8,32.4,882
100,100,4,400,239.8,32.4,901.6
100,100,4,400,239.8,32.4,980
100,100,4,400,239.8,32.4,1000
100,100,4,400,239.8,32.4,970
100,100,4,400,239.8,32.4,921.2
100,100,4,400,239.8,32.4,960.4
100,100,2.29,300,194.2,32,497.4
100,100,2.29,300,194.2,32,498
100,100,2.2,300,339.4,21.4,511
100,100,2.2,300,339.4,21.4,510
100,100,2.99,300,288.4,20.6,529
100,100,2.99,300,288.4,20.6,528
100,100,4.25,300,284.5,19.8,667
100,100,4.25,300,284.5,19.8,666
250,250,8,500,379,33,4870
250,250,8,500,379,91,8300
148,148,4.38,444,262,25.4,1153
148,148,4.38,444,262,40.5,1414
148,148,4.38,444,262,40.5,1402
148,148,4.38,444,262,77,2108
215,215,4.38,645,262,25.4,1777
215,215,4.38,645,262,41.1,2424
215,215,4.38,645,262,41.1,2393
215,215,4.38,645,262,80.3,3837
323,323,4.38,969,262,25.4,3367
323,323,4.38,969,262,41.1,5950
323,323,4.38,969,262,41.1,4830
323,323,4.38,969,262,80.3,7481
144,144,6.36,432,618,25.4,2572
144,144,6.36,432,618,40.5,2808
144,144,6.36,432,618,40.5,2765
144,144,6.36,432,618,77,3399
211,211,6.36,633,618,25.4,3920
211,211,6.36,633,618,40.5,4428
211,211,6.36,633,618,40.5,4484
211,211,6.36,633,618,77,5758
319,319,6.36,957,618,25.4,6320
319,319,6.36,957,618,41.1,7780
318,318,6.36,954,618,41.1,7473
319,319,6.36,957,618,85.1,10357
120,120,6.36,360,618,25.4,2819
120,120,6.47,360,835,40.5,2957
120,120,6.47,360,835,40.5,2961
120,120,6.47,360,835,77,3318
175,175,6.47,525,835,25.4,4210
175,175,6.47,525,835,40.5,4493
175,175,6.47,525,835,40.5,4542
175,175,6.47,525,835,77,5366
265,265,6.47,795,835,25.4,6546
265,265,6.47,795,835,41.1,7117
265,265,6.47,795,835,41.1,7172
265,265,6.47,795,835,80.3,8990
210,210,5.48,630,294,39.1,3184
211,211,5.48,633,294,91.1,4775
210,210,4.5,630,277,39.1,2714
211,211,4.5,633,277,91.1,4372
211,211,8.83,633,536,39.1,5900
211,211,8.83,633,536,91.1,7010
204,204,5.95,612,540,39.1,4027
204,204,5.95,612,540,91.1,5305
180,180,9.45,540,825,39.1,6805
180,180,9.45,540,825,91.1,7405
180,180,6.6,540,824,31.1,5030
180,180,6.6,540,824,91.1,5875
200,200,6.16,600,781,119,6645
200,200,3.17,600,781,119,4910
200,200,6.39,600,310,119,4965
200,200,3.09,600,310,119,3899
305,305,8.9,1220,560,110,14116
305,305,6.1,1220,660,110,12307
305,305,8.6,1220,259,110,11390
305,305,5.8,1220,471,110,11568
152.4,152.4,4.43,300,389,46.2,1906
152.4,152.4,8.95,300,432,45.4,3307
152,153.4,6.17,300,377,43.6,3317
152.2,153,9.04,300,394,47.2,4208
100.2,100.2,2.18,300,300,25.7,411
200.3,200.3,4.35,601,323,29.6,1613
300.5,300.5,6.1,902,395,26.5,2766
100,100,2.18,300,300,53.7,697
200.1,200.1,4.35,601,323,57.9,2563
300.6,300.6,6.1,902,395,58.9,5481
101.1,101.1,2.18,300,300,61,783
200.2,200.2,4.35,601,323,63.7,2825
100.2,100.2,2.18,300,300,25.7,609
200.3,200.3,4.35,601,323,29.6,2230
300.5,300.5,6.1,902,395,26.5,5102
100.1,100.1,2.18,300,300,53.7,851
200.1,200.1,4.35,601,323,57.9,3201
300.7,300.7,6.1,902,395,52.2,6494
100.1,100.1,2.18,300,300,61,911
200.3,200.3,4.35,601,323,63.7,3417
100.7,100.7,9.6,301,400,24.64,1550
101,101,9.6,300,400,74.88,2000
99.9,99.9,4.9,301,289,24.64,800
99.8,99.8,4.9,300,300,74.88,900
100.1,100.1,4.2,301,333,27.76,700
100,100,4.2,302,333,27.76,680
100,100,4.1,299,333,77.76,1130
100,100,4.1,300,333,77.76,970
100,100,4.1,301,333,46.08,880
99.9,99.9,4,301,333,46.08,830
101,101,9.6,302,400,46.08,1800
99.8,99.8,4.8,302,289,25.52,780
99.7,99.7,4.7,301,289,46.56,1000
99.7,99.7,4.73,302,289,79.12,1050
99.9,99.9,4.1,301,333,79.12,1130
200,200,3,600,303.5,46.8,2458
200,200,3,601,303.5,46.8,2594
200,200,3,602,303.5,46.8,2306
200,200,3,603,303.5,46.8,2284
200,200,3,604,303.5,46.8,2550
200,200,3,605,303.5,46.8,2587
149.8,149.8,4.27,600,412,31.9,1598
180,180,6.3,1000,397,92.4,4060
260,260,7.1,1000,426,92.4,7488
120,120,5,500,304,47,1440
120,120,5,500,438,46,1690
120,120,5,500,327,96,2040
120,120,5,500,439,96,2240
120,120,8,500,323,39,1550
120,120,8,500,300,46,1670
120,120,8,500,376,47,1990
120,120,8,500,323,103,2270
120,120,8,500,379,103,2680
120,120,8,500,379,39,1800
120,120,8,500,364,80,2300
120,120,8,500,379,80,2290
120,120,8,500,379,31,1680
120,120,8,500,379,92,2430
76.6,152.3,3,635,430,30.5,819
76.5,152.8,4.47,635,383,26,1006
101.8,152.4,4.32,635,413,26,1144
102.8,152.7,4.57,635,365,23.8,1224
101.3,151.4,5.72,635,324,23.8,1335
102.1,151.4,7.34,635,358,23.8,1691
127.3,127.3,3.15,635,356,30.5,917
126.9,126.9,4.34,635,357,26,1095
126.9,127,4.55,635,322,23.8,1113
125.3,126.5,5.67,635,312,23.8,1202
126.8,127.2,7.47,635,347,23.8,2069
125,125,3.2,500,443,94,1598
85,130,2.86,390,228,47.44,760
85,130,2.86,390,228,47.44,820
80,140,2.86,420,228,47.44,880
80,140,2.86,420,228,47.44,740
134.9,175.7,2.91,993,319.3,68.5,2401
124.6,199.3,2.92,921,319.3,68.5,2636
100,180,5.8,540,300,74.7,2059
100,180,5.8,540,300,74.7,2019
100,180,5.8,540,300,92,2287
100,180,5.8,540,300,92,2291
100,180,5.8,450,300,56,1815
100,180,5.8,450,300,56,1763
100,180,5.8,540,300,56,1725
100,180,5.8,540,300,56,1742
100,180,5.8,480,300,56,1947
100,180,5.8,480,300,56,1912
100,180,5.8,570,300,56,2035
100,180,5.8,570,300,56,2138
80.1,120.7,4.18,360,550,56.6,1450
80.6,119.3,4.18,360,550,56.6,1425
80.6,119.6,4.18,360,550,65.7,1560
80.6,120.5,4.18,360,550,65.7,1700
121.5,179.7,4.18,540,550,56.6,2530
119.8,180.4,4.18,540,550,65.7,2970
121.3,179.2,4.18,540,550,65.7,2590
81.4,160.2,4.18,480,550,56.6,1710
80.5,160.7,4.18,480,550,56.6,1820
81,160.1,4.18,480,550,65.7,1880
80.1,160.6,4.18,480,550,65.7,2100
101.2,199.8,4.18,600,550,56.6,2350
98.9,200.2,4.18,600,550,56.6,2380
102.1,199.2,4.18,600,550,65.7,2900
99.6,199.8,4.18,600,550,65.7,2800
100,150,4,450,495,58.4,1735
100,150,4,450,495,58.4,1778
90,180,4,540,495,58.4,1773
90,180,4,540,495,58.4,1795
110,160,4,480,495,58.4,1982
110,160,4,480,495,58.4,1923
100,190,4,570,495,58.4,2049
100,190,4,570,495,58.4,2124
90,130,4,390,495,77.6,1752
90,130,4,390,495,77.6,1806
80,160,4,480,495,77.6,1878
80,160,4,480,495,77.6,1858
101.5,162.9,2,480,305.1,49.4,1068
100.3,163.9,1.99,480,305.1,49.4,1080
102.7,160.8,2.04,480,305.1,49.4,1080
105.9,161.4,2.96,480,255.1,49.4,1420
105.7,158.2,2.93,480,255.1,49.4,1440
103.3,159.1,4.8,480,347.3,49.4,1875
102.4,156.7,4.8,480,347.3,49.4,1915
104.4,158.8,4.85,480,347.3,49.4,1820
121.6,188.4,4.88,480,347.3,49.4,2260
120.4,190.9,4.83,570,347.3,49.4,2510
102.1,160.2,2,570,305.1,58.6,1555
99.6,162.8,2.13,480,305.1,58.6,1460
98.5,162.3,2,480,305.1,58.6,1545
105.1,159.1,2.93,480,255.1,58.6,1610
102.2,163.8,2.93,480,255.1,58.6,1680
104.5,162.6,3.04,480,255.1,58.6,1640
103.4,156.9,4.71,480,347.3,58.6,2090
106.9,162,4.81,480,347.3,58.6,2320
102.6,158.9,4.74,480,347.3,58.6,2060
119.7,164.6,2.01,480,305.1,58.6,1800
121,194.8,4.72,570,347.3,49.4,2700
121.7,189.6,4.81,570,347.3,49.4,2680
100.7,162.7,2.97,480,255.1,49.4,1080
114.3,114.3,9.63,406.4,254.07,32.13,2442.07
114.86,114.86,4.39,406.4,254.07,32.13,896.76
76.2,76.2,3.35,254,324.05,40.85,511.55
150,150,0.7,480,245.17,22.56,558
150,150,0.7,800,245.17,22.56,611.93
150,150,1.4,800,245.17,22.56,711.96
150,150,2.1,800,245.17,22.56,793.36
150,200,0.7,480,245.17,22.56,795.32
150,200,0.7,800,245.17,22.56,705.1
150,200,1.4,800,245.17,22.56,881.62
150,200,2.1,800,245.17,22.56,844.35
150,150,0.7,480,245.17,33.73,747.27
150,150,1.4,800,245.17,35.3,973.8
150,200,1.4,480,245.17,33.73,1172.88
150,200,2.1,800,245.17,35.3,1268
80,120,5,200,357.5,35.7,850
80,120,5,200,341,38.8,900
80,120,5,200,341,40.5,920
80,120,5,200,362.6,39.1,950
80,120,5,200,362.6,36,955
100,150,5,100,346.7,38.5,1370
100,150,5,200,346.7,38.5,1210
100,150,5,100,346.7,38.3,1340
100,150,5,200,346.7,38.3,1200
100,150,5,100,340,38.7,1300
100,150,5,200,340,38.7,1190
100,150,5,100,340,39.6,1320
100,150,5,200,340,39.6,1200
150,150,4.5,600,438.36,31.87,1597.5
150,150,4.5,1200,438.36,31.87,1585.74
130,130,2.65,780,340.1,17.6,760
130,130,2.65,780,340.1,17.6,770
130,130,2.65,780,340.1,17.6,690
130,130,2.65,780,340.1,17.6,739
240,360,2.65,1440,340.1,17.6,2300
240,360,2.65,1440,340.1,17.6,2250
240,360,2.65,1440,340.1,17.6,1610
240,360,2.65,1440,340.1,17.6,1600
130,195,2.65,780,340.1,17.6,980
130,195,2.65,780,340.1,17.6,960
130,195,2.65,780,340.1,17.6,880
130,195,2.65,780,340.1,17.6,900
90,135,2.65,540,340.1,17.6,580
90,135,2.65,540,340.1,17.6,592
90,135,2.65,540,340.1,17.6,570
90,135,2.65,540,340.1,17.6,552
120,240,2.65,720,340.1,17.6,1140
120,240,2.65,720,340.1,17.6,1032
120,240,2.65,720,340.1,17.6,968
60,120,2.93,600,293.5,27.44,570
90,120,2.93,600,293.5,27.44,825
120,120,2.65,360,340,16.08,640
120,120,2.65,360,340,16.08,664
120,120,2.65,360,340,28.8,816
120,120,2.65,360,340,28.8,812
120,120,2.93,600,293.5,27.44,1054
200,200,3,600,303.5,46.8,2458
200,200,3,600,303.5,46.8,2594
200,200,3,600,303.5,46.8,2306
200,200,3,600,303.5,46.8,2284
200,200,3,600,303.5,46.8,2550
200,200,3,600,303.5,46.8,2587
148,148,4.38,444,262,25.4,1153
148,148,4.38,444,262,40.5,1414
148,148,4.38,444,262,40.5,1402
148,148,4.38,444,262,77,2108
215,215,4.38,645,262,25.4,1777
215,215,4.38,645,262,41.1,2424
215,215,4.38,645,262,41.1,2393
215,215,4.38,645,262,80.3,3837
323,323,4.38,969,262,25.4,3367
323,323,4.38,969,262,41.1,4950
323,323,4.38,969,262,41.1,4830
324,324,4.38,972,262,80.3,7481
144,144,6.36,432,618,25.4,2572
144,144,6.36,432,618,40.5,2808
144,144,6.36,432,618,40.5,2765
144,144,6.36,432,618,77,3399
211,211,6.36,633,618,25.4,3920
211,211,6.36,633,618,40.5,4428
211,211,6.36,633,618,40.5,4484
211,211,6.36,633,618,77,5758
319,319,6.36,957,618,25.4,6320
319,319,6.36,957,618,41.1,7780
318,318,6.36,954,618,41.1,7473
319,319,6.36,957,618,85.1,10357
120,120,6.47,360,835,25.4,2819
120,120,6.47,360,835,40.5,2957
120,120,6.47,360,835,40.5,2961
119,119,6.47,357,835,77,3318
175,175,6.47,525,835,25.4,4210
175,175,6.47,525,835,40.5,4493
175,175,6.47,525,835,40.5,4542
175,175,6.47,525,835,77,5366
265,265,6.47,795,835,25.4,6546
264,264,6.47,792,835,41.1,7117
265,265,6.47,795,835,41.1,7172
265,265,6.47,795,835,80.3,8990
210,210,5.48,630,294,39.1,3183
211,211,5.48,633,294,91.1,4773
210,210,4.5,630,277,39.1,2713
211,211,4.5,633,277,91.1,4371
211,211,8.83,633,536,39.1,5898
211,211,8.83,633,536,91.1,7008
204,204,5.95,612,540,39.1,4026
204,204,5.95,612,540,91.1,5303
180,180,9.45,540,825,39.1,6803
180,180,9.45,540,825,91.1,7402
180,180,6.6,540,824,39.1,5028
180,180,6.6,540,824,91.1,5873
200,200,2.5,1190,270,58.3,2260
100,100,1.9,300,404,121.6,1209
100,100,1.9,300,404,121.6,1220
100,100,1.9,300,404,121.6,1190
100,100,1.9,300,404,121.6,1220
100,100,1.9,900,404,121.6,1013
100,100,1.9,900,404,121.6,1010
150,150,3,675,324.4,52.6,1516
150,150,3,900,324.4,52.6,1599
249.6,249.6,3.7,750,324.3,40.4,3131
251,251,3.75,750,324.3,40.4,2832
251.1,251.1,3.73,750,324.3,40.4,2677
70,70,5,210,701,21,1367
100,100,5,300,701,21,1934
125,125,5,375,701,21,2348
150,150,5,450,701,21,2828
110,110,5,330,701,54.5,2203
110,110,5,330,701,54.5,2234
140,140,5,420,701,54.5,2942
140,140,5,420,701,54.5,2840
170,170,5,510,701,54.5,3118
170,170,5,510,701,54.5,3243
180,180,5,570,701,54.5,3882
180,180,5,570,701,54.5,3856
101,203,8.28,607,488.38,43.2,3090
102,203,8.28,60,488.38,55.3,3230
119,183,8.28,541,488.38,43.2,3300
122,182,8.28,541,488.38,55.3,3380
150,150,8.28,453,488.38,43.2,3500
150,152,8.28,451,488.38,55.3,3575
100,120,5.7,361,514.53,43.2,1960
100,120,5.7,360,514.53,55.3,2100
121,182,5.7,540,514.53,43.2,2485
122,181,5.7,540,514.53,55.3,2710
103,121,7.69,363,423.2,43.2,2545
101,120,7.69,358,423.2,55.3,2730
119,179,7.69,542,423.2,43.2,3130
120,180,7.69,545,423.2,55.3,3150
74.04,74.04,4.91,285,762,100,1636
72.87,72.87,4.88,285,762,100,1755
99.56,99.56,4.91,360,762,100,2520
99.2,99.2,4.93,360,762,100,2632
124.43,124.43,4.93,435,762,100,3023
124.94,124.94,4.94,435,762,100,2962
149.99,149.99,4.92,510,762,100,4115
149.87,149.87,4.92,510,762,100,3968
199.01,199.01,4.92,660,762,113,5184
198.71,198.71,4.92,660,762,113,5604
198.92,198.92,4.91,1514,762,113,7478
186,186,3,540,300,32,1555
126,126,3,360,300,50,1114
120,120,5,430,761,20.34,1835
170,170,5,580,761,20.34,2831
220,220,5,730,761,20.34,3609
270,270,5,880,761,20.34,3950
65,65,3,250,350,79,502
75,75,3,250,370,79,684
75,65,3,250,370,52,568
65,75,3,250,350,52,434
150,150,8,450,779,152.3,6536
150,150,8,450,779,157.2,6715
150,150,8,450,779,147,6616
150,150,8,450,779,164.1,7276
150,150,8,450,779,148,6974
150,150,12,450,756,152.3,8585
150,150,12,450,756,157.2,8452
150,150,12,450,756,147,8687
150,150,12,450,756,164.1,8730
150,150,12,450,756,148,8912
150,150,12.5,450,446,152.3,5953
150,150,12.5,450,446,157.2,5911
150,150,12.5,450,446,147,6039
150,150,12.5,450,446,164.1,6409
150,150,12.5,450,446,148,6285
197,197,6.4,600,437.88,21.26,2730
198.5,198.5,6.1,600,437.88,20.65,3010
200.5,200.5,6.3,600,437.88,19.58,2830
201,201,10.3,600,381.68,21.26,3980
201,201,10,600,381.68,20.65,3920
199.5,199.5,10.1,600,381.68,19.58,3900
150,150,8,450,779,152.3,6536
150,150,8,450,779,157.2,6715
150,150,8,450,779,147,6616
150,150,8,450,779,164.1,7276
150,150,8,450,779,148,6974
150,150,12,450,756,152.3,8585
150,150,12,450,756,157.2,8452
150,150,12,450,756,147,8687
150,150,12,450,756,164.1,8730
150,150,12,450,756,148,8912
150,150,12.5,450,446,152.3,5953
150,150,12.5,450,446,157.2,5911
150,150,12.5,450,446,147,6039
150,150,12.5,450,446,164.1,6409
150,150,12.5,450,446,148,6285
100.4,100.4,2.07,300,348.7,59,987
100.4,100.4,2.03,300,348.7,113.2,1406
100.4,100.4,2.05,300,348.7,130.8,1575
100.4,100.4,3.79,300,306.7,59,1138
100.3,100.3,3.83,300,306.7,113.2,1544
100.4,100.4,3.79,300,306.7,130.8,1676
100.7,100.7,7.6,300,371.6,59,1647
100.7,100.7,7.59,300,371.6,113.2,1976
100.7,100.7,7.63,300,371.6,130.8,2051
125,125,4,300,342.59,46.67,1159.2
125,125,4,300,342.59,94.33,1882.5
100,150,4,300,270.84,40.41,912
100,150,4,300,270.84,90.58,1188.5
125,125,3,300,296.06,46.67,824.5
125,125,3,300,296.06,94.31,1441.2
200,200,6,695,485,38,3488
200,200,6,695,485,38,3452
200,200,6,695,485,80.5,4921
200,200,6,695,485,80.5,4973
200,200,6,695,485,112.1,6060
200,200,6,695,485,112.1,6298
200,200,6,695,485,112.1,6218
126,126,3,300,300,40,950
156,156,3,300,300,50,1300
186,186,3,300,300,32,1200
246,246,3,300,300,38,2200
306,306,3,300,300,38,2519
126,126,3,360,300,50,1114
156,156,3,450,300,50,1708
186,186,3,540,300,32,1555
246,246,3,720,300,38,3095
306,306,3,900,300,38,4000
306,306,3,900,300,38,4253
306,306,3,900,300,38,4495
306,306,3,900,300,38,4581
250,250,2.5,750,338,20.4,1993
250,250,2.5,750,338,20.4,2020
250,250,2.5,750,338,40.64,3190
250,250,2.5,750,338,40.96,3150
250,250,2.5,750,342,53.6,4080
250,250,2.5,750,342,53.6,4040
190,190,2.5,570,342,53.6,2480
190,190,2.5,570,342,53.6,2430
250,250,2.5,750,270,46.64,3495
190,190,2.5,570,270,46.64,2140
249,250.4,2.5,750,234.3,50.1,3409
128.2,129.1,2.5,390,234.3,54.8,1150
120,120,5,500,304,47,1440
120,120,5,500,438,46,1690
120,120,5,500,327,96,2040
120,120,5,500,439,96,2240
120,120,8,500,323,39,1550
120,120,8,500,300,46,1670
120,120,8,500,376,47,1990
120,120,8,500,323,103,2270
120,120,8,500,379,103,2680
120,120,8,500,379,39,1800
120,120,8,500,390,80,2300
120,120,8,500,379,80,2290
120,120,8,500,404,92,1380
150.3,149.9,1.98,399.5,413,44.8,2046
150.1,149.8,2,400.1,413,44.8,2200
150.2,150.2,2.98,401,392,44.8,2360
150.4,150,3,400.6,392,44.8,2300
200.3,100.5,1.98,400,413,44.8,1980
200.5,100.5,2.97,402,392,44.8,2160
300,300,6,1050,414,10,3428
400,400,6,1400,414,10,4452
300,300,6,1050,369,40,6298
400,400,6,1400,369,40,8802
60,60,1.87,180,282,64.8,382
60,60,1.87,180,282,64.8,350
100,100,1.87,300,282,64.8,860
100,100,1.87,300,282,64.8,840
150,150,1.87,450,282,64.8,1662
150,150,1.87,450,282,64.8,1740
200,200,1.87,600,282,64.8,2890
